SYMBOL ,UNDERLYING ASSET ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,LTP ,INDICATIVE CLOSE ,CHNG ,%CHNG ,VOLUME ,VALUE  (₹ Crores),NAV ,52W H ,52W L ,30D  %CHNG ,365 D ,365 D % CHNG ,30 D 
MAHKTECH,Hang Seng TECH Total Return Index,19.42,19.42,17.51,18.13,18.85,,0.72,3.97,672709,1.25,16.33,24,11.65,33.51,23-Oct-2023,38.19,20-Sep-2024
MAFANG,NYSE FANG+ Total Return Index,98.98,98.98,94.1,95.24,98.1,,2.86,3,504221,4.9,99.22,102.75,59,1.18,23-Oct-2023,57.08,20-Sep-2024
CONS,Kotak Nifty India Consumption ETF,120.3,124.5,119.2,120.3,123.3,,3,2.49,3082,0.04,119.87,155.7,82.93,-7.33,,,20-Sep-2024
GSEC5IETF,Nifty 5 yr Benchmark G-Sec Index,57.6,58.64,57.6,57.32,58.64,,1.32,2.3,149,,58.13,66,52.8,-1.78,,,20-Sep-2024
HDFCNIFIT,HDFC NIFTY IT ETF,43.7,43.7,42.26,42.25,43.07,,0.82,1.94,3433,0.01,42.41,47.4,30.57,-2.74,23-Oct-2023,-86.49,20-Sep-2024
SILVERADD,DSP Silver ETF,95.52,96.99,95.51,95.1,96.9,,1.8,1.89,27809,0.27,95.68,96.99,67.6,9.78,,,20-Sep-2024
NIFITETF,UTI Nifty IT ETF,421.65,423.39,415.52,415.97,423.39,,7.42,1.78,111,,416.85,450,321.68,-2.43,,,20-Sep-2024
HNGSNGBEES,Hang Seng Index,333.29,342.82,322,324.83,330.58,,5.75,1.77,103810,3.42,316.45,421.38,205,13.5,23-Oct-2023,26.88,20-Sep-2024
AXISILVER,Axis Silver ETF,103.18,103.18,98.47,98.27,99.79,,1.52,1.55,20186,0.2,98.8,103.18,70.25,10.09,23-Oct-2023,34.27,20-Sep-2024
ITETF,Mirae Asset Nifty IT ETF,41.95,42.6,41.52,41.96,42.6,,0.64,1.53,15860,0.07,42,46.14,30.4,-3.72,,,20-Sep-2024
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,95.62,96.34,95.62,94.88,96.28,,1.4,1.48,2449221,23.55,95.35,100,67,9.71,23-Oct-2023,33.78,20-Sep-2024
TATSILV,Tata Silver Exchange Traded Fund,9.8,9.84,9.64,9.6,9.74,,0.14,1.46,498407,0.49,9.68,10.32,6.74,9.84,,,20-Sep-2024
SILVERIETF,Domestic Price of Silver,99,99.89,98.9,98.47,99.89,,1.42,1.44,362075,3.6,98.94,99.89,68.65,9.68,,,20-Sep-2024
SILVER,Physical price of Silver,99.41,103,99.41,98.6,100,,1.4,1.42,124033,1.24,99.01,103,70,9.82,23-Oct-2023,34.3,20-Sep-2024
ITBEES,Nifty IT TRI,46,46,44.02,44.06,44.66,,0.6,1.36,944428,4.2,44.14,46.89,31.79,-2.26,23-Oct-2023,35.61,20-Sep-2024
MASPTOP50,S&P 500 Top 50 Total Return Index,44.97,45.28,44.31,44.5,45.1,,0.6,1.35,102570,0.46,45.78,46.9,30.76,2.56,23-Oct-2023,41,20-Sep-2024
IT,NIFTY IT Index,44.57,44.65,43.85,44.01,44.6,,0.59,1.34,30567,0.14,43.89,46.72,31,-2,,,20-Sep-2024
HDFCSILVER,HDFC Silver ETF,95.48,96.54,95.2,95.13,96.4,,1.27,1.34,204762,1.97,96.28,96.54,67.85,9.93,23-Oct-2023,34.14,20-Sep-2024
TECH,Nifty IT TRI Index,43.78,43.78,42.68,43.15,43.73,,0.58,1.34,1443,0.01,43.09,49,26.63,-2.18,23-Oct-2023,37.9,20-Sep-2024
ITETFADD,DSP Nifty IT ETF,42.93,42.93,41.81,42.08,42.64,,0.56,1.33,13247,0.06,42.01,46.32,30.26,-2.07,,,20-Sep-2024
SBISILVER,SBI SILVER ETF,101.4,101.4,97.41,96.82,98.1,,1.28,1.32,36485,0.36,97.45,101.4,79.07,10.01,,,20-Sep-2024
ITIETF,Nifty IT Index,44.95,44.95,44.1,44.08,44.66,,0.58,1.32,120787,0.54,44.09,47.15,28.2,-2.22,,,20-Sep-2024
AXISTECETF,NIFTY IT Index,438.01,443.5,436.3,437.77,443.5,,5.73,1.31,650,0.03,437.89,465.98,315,-2.44,23-Oct-2023,35.71,20-Sep-2024
SILVER1,Kotak Silver ETF,99.48,99.48,96.75,96.13,97.39,,1.26,1.31,18411,0.18,96.36,99.48,68.66,9.66,,,20-Sep-2024
SILVERETF,UTI Silver Exchange Traded Fund (UTI Silver ETF),97,98.5,96.33,96.08,97.31,,1.23,1.28,152765,1.49,97.37,98.5,69,10.06,23-Oct-2023,33.72,20-Sep-2024
FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF,26.05,26.46,25.91,26.09,26.41,,0.32,1.23,34916,0.09,26.04,30,19.7,-7.97,,,20-Sep-2024
EBANKNIFTY,Edelweiss Nifty Bank ETF,51.29,51.68,51.29,51.08,51.68,,0.6,1.17,32,,51.22,56.38,50.45,,,,
SILVRETF,Mirae Asset Silver ETF,97,97.99,96.68,96.31,97.41,,1.1,1.14,40769,0.4,96.78,97.99,68.43,9.78,23-Oct-2023,33.73,20-Sep-2024
MONIFTY500,Motilal Oswal Nifty 500 ETF,23.49,23.49,23.05,23.13,23.36,,0.23,0.99,76789,0.18,22.99,25,16.3,-4.62,23-Oct-2023,35.5,20-Sep-2024
MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF,17.55,17.59,17,17.32,17.49,,0.17,0.98,152798,0.26,17.28,19.3,13,-6.18,,,20-Sep-2024
SBIETFIT,Nifty IT Index,436.51,446.8,436.51,441.36,445.65,,4.29,0.97,2302,0.1,440.66,473.25,317,-2.08,23-Oct-2023,36.01,20-Sep-2024
TNIDETF,Nifty India Digital Index,94,94.6,92.64,93.62,94.5,,0.88,0.94,11326,0.11,93.51,101.75,63.05,-5.24,23-Oct-2023,43.92,20-Sep-2024
ESILVER,Edelweiss Silver ETF,99.2,100.3,99.2,99.1,100,,0.9,0.91,3997,0.04,99.54,100.3,70.71,9.88,,,20-Sep-2024
